"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"205","Easop Winston Jr.","WR","FA","-","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Justin Hardee Sr.","WR","FA","-","-","0","-","0","-","-","-","-","-","-","-","0","0","0","0","-","0","0","0"
"205","Andy Isabella","WR","FA","-","-","0","-","-","-","-","-","-","-","-","0","-","-","-","-","-","-","0","0"
"205","Devon Allen","WR","FA","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Tay Martin","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","0","-","0","0"
"205","Matthew Slater","WR","FA","-","-","-","0","0","-","0","-","-","-","-","-","-","0","-","-","0","0","0","0"
"205","Marquez Callaway","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","0","0","0","-","-","-","0","0"
"205","Isaiah Winstead","WR","FA","-","-","-","0","-","-","0","0","-","-","-","-","-","-","-","-","-","-","0","0"
"205","N'Keal Harry","WR","FA","-","-","-","-","0","0","0","0","0","0","0","0","-","-","-","-","-","-","0","0"
"205","Amari Rodgers","WR","FA","-","-","-","-","0","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Phillip Dorsett II","WR","LV","0","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","0","-","0","0"
"205","Kearis Jackson","WR","FA","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Jaelon Darden","WR","FA","-","-","-","-","-","0","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"205","Juwann Winfree","WR","FA","0","-","-","-","-","-","-","0","0","0","-","-","-","-","-","-","-","-","0","0"
"205","Irvin Charles","WR","NYJ","-","-","-","-","0","0","BYE","-","0","0","0","0","-","0","0","0","0","0","0","0"
"244","James Proche II","WR","TEN","-","-","-","-","-","-","BYE","-","0","-2","0","0","0","0","0","0","0","0","-0.2","-2"
"245","Trent Taylor","WR","SF","0","0","-","0","0","0","0","-0.2","0","0","0","0","-","0","-2","0","0","0","-0.1","-2.2"
""
""
