"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"153","Jermaine Burton","WR","CIN","0","5.7","0","0","0","-","0","5.1","-","2.1","1.8","BYE","0","0","0","0","0","-","1.1","14.7"
"154","Jalen Reagor","WR","LAC","-","-","-","-","BYE","-","3","5.5","1","-0.2","0","4","0","1.4","-","-","-","-","1.8","14.7"
"155","Odell Beckham Jr.","WR","FA","-","-","-","-","0","-","0","0","4.5","3.7","3.3","0","1.9","1.1","-","-","-","-","1.6","14.5"
"156","Xavier Gipson","WR","NYJ","0","0","3.6","1.6","0","0","0","7.1","0","0","2.7","BYE","0.9","0","0","-2","0","0.5","0.8","14.4"
"157","Jalin Hyatt","WR","NYG","0","0","0","0","0","1.6","0","-","0","7.9","BYE","0","2.8","0","0","1.9","0","0","0.9","14.2"
"157","DeAndre Carter","WR","CLE","1.6","6.2","5.2","0","0","0","-","1.7","0","1.5","0","-2","0","0","-","-","-","-","1.1","14.2"
"159","Brandon Powell","WR","FA","0","3.6","2.3","0","0","-","0","0","1.9","0","2.3","0","1.8","0","2.2","0","0","0","0.8","14.1"
"160","Tyrell Shavers","WR","BUF","-","-","-","-","0","-","-","-","-","0","-","BYE","-","-","-","-","13.9","-","4.6","13.9"
"161","River Cracraft","WR","FA","-","-","-","-","-","-","-","-","-","0","0","0","0","-","1.6","1.6","2.6","7.8","1.7","13.6"
"161","Chris Conley","WR","FA","0","1.4","0","0","-","0","0","0","-","-","0","0","0","0","0","0","2.3","9.9","0.9","13.6"
"163","Michael Woods II","WR","FA","-","-","-","-","-","-","-","-","-","-","-","-","7.3","2.2","2.7","0","1.3","-","2.7","13.5"
"164","DJ Chark Jr.","WR","ATL","-","-","-","-","-","-","-","-","-","0","-","BYE","0","1.9","3.6","0","0","7.6","1.9","13.1"
"165","Tay Martin","WR","WAS","-","-","-","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","11.9","11.9","11.9"
"166","Ben Skowronek","WR","PIT","-","0","-","-","0","-","-","-","BYE","0","1.4","0","3.3","0","2.7","4.5","-","0","1.2","11.9"
"167","Scotty Miller","WR","PIT","0","0","5.1","0","0","0","0","0","BYE","-","0","-","-","6.8","0","0","0","-","0.9","11.9"
"168","Jacob Cowing","WR","SF","0","0","0","0","-","0","7","0","BYE","-2","0","-","0","0","0","0","0","5.7","0.7","10.7"
"168","Laviska Shenault Jr.","WR","BUF","1.1","1.6","1.2","2.8","0","4","0","2","0","-","0","BYE","-2","-","0","-","-","-","0.9","10.7"
"170","Britain Covey","WR","LAR","0","8.3","2.1","-","-","BYE","-","-","-","-","-","0","0","-","-","-","-","-","2.1","10.4"
